time,price
1474152666,12.72
1474156267,12.72
1474159868,12.77
1474163469,12.77
1474167069,12.78
1474170670,12.79
1474174271,12.76
1474177871,12.73
1474181472,12.71
1474185073,12.72
1474188673,12.73
1474192275,12.74
1474195875,12.75
1474199476,12.82
1474203077,12.94
1474206679,12.96
1474210280,12.99
1474213881,12.89
1474217483,12.87
1474221083,12.89
1474224684,12.86
1474228286,12.87
1474231887,12.90
1474235488,12.89
1474239091,12.80
1474242691,12.50
1474246293,12.44
1474249893,12.52
1474253494,12.43
1474257095,12.39
1474260695,12.54
1474264296,12.64
1474267898,12.73
1474271498,12.71
1474275099,12.79
1474278733,12.85
1474282333,12.94
1474285934,13.03
1474289662,12.93
1474292663,12.94
1474296992,12.95
1474300593,12.88
1474304194,12.87
1474307795,12.95
1474311396,12.97
1474314997,12.92
1474318597,12.92
1474322198,12.90
1474325799,12.91
1474329400,12.86
1474333001,12.88
1474336601,12.87
1474340202,12.90
1474343804,12.98
1474347405,13.17
1474351005,13.18
1474354606,13.37
1474358207,13.40
1474361807,13.38
1474365408,13.40
1474369009,13.48
1474372609,13.60
1474376210,13.63
1474379847,13.83
1474383580,13.88
1474387181,13.89
1474390782,13.81
1474394383,13.77
1474397984,13.71
1474401585,13.84
1474405186,13.86
1474408786,13.95
1474412387,13.94
1474415988,13.90
1474419589,13.92
1474423190,14.08
1474426790,14.22
1474430391,14.53
1474433992,14.38
1474437593,14.43
1474441193,14.36
1474444794,14.30
1474448395,14.38
1474451996,14.41
1474455596,14.34
1474459198,14.18
1474462799,14.03
1474466399,13.99
1474469401,13.78
1474473001,13.59
1474476602,13.71
1474480203,13.74
1474483804,13.78
1474487405,13.68
1474491006,13.69
1474494607,13.61
1474497608,13.58
1474501909,13.35
1474505509,13.25
1474509110,13.40
1474512711,13.39
1474516312,13.67
1474519912,13.61
1474523513,13.51
1474527114,13.37
1474530714,13.40
1474534315,13.41
1474537916,13.36
1474541516,13.11
1474545117,13.06
1474548718,13.13
1474552319,13.18
1474555919,13.22
1474559520,13.14
1474563121,12.97
1474566722,12.90
1474570323,12.71
1474573923,12.77
1474577527,12.92
1474581128,12.95
1474584729,12.88
1474588330,12.97
1474591931,13.04
1474595532,13.12
1474599133,13.25
1474602734,13.19
1474606334,13.29
1474609936,13.29
1474613536,13.27
1474617137,13.19
1474620738,13.17
1474624338,13.16
1474627939,13.24
1474631540,13.25
1474635140,13.30
1474638741,13.39
1474642342,13.37
1474645943,13.32
1474649544,13.31
1474653144,13.40
1474656745,13.40
1474660347,13.34
1474663948,13.37
1474667549,13.41
1474671150,13.40
1474674752,13.39
1474678353,13.39
1474681953,13.39
1474685554,13.38
1474689155,13.36
1474692755,13.35
1474696356,13.34
1474699957,13.32
1474703557,13.24
1474707158,13.19
1474710759,13.24
1474714359,13.18
1474717960,13.16
1474721561,13.16
1474725162,13.19
1474728763,13.06
1474732364,12.86
1474735964,12.93
1474739566,12.91
1474743167,12.89
1474746768,12.90
1474750369,12.94
1474753969,12.92
1474757570,12.93
1474761171,12.90
1474764771,12.87
1474768372,12.95
1474771973,12.91
1474775574,12.91
1474779174,12.89
1474782775,12.86
1474786376,12.91
1474789976,12.97
1474793577,13.00
1474797178,13.03
1474800778,13.04
1474804379,13.07
1474807980,13.05
1474811580,12.99
1474815181,12.99
1474818782,13.01
1474822383,13.00
1474825984,12.99
1474829586,12.97
1474833190,12.94
1474836799,12.99
1474840400,12.99
1474844001,12.99
1474847603,13.02
1474851204,13.01
1474854805,13.04
1474858406,13.05
1474862007,13.06
1474865607,13.12
1474869208,13.04
1474872809,13.01
1474876410,12.95
1474880010,12.94
1474883611,12.95
1474887212,12.92
1474890813,12.84
1474894414,12.86
1474898014,12.92
1474901615,12.96
1474905217,12.96
1474908817,12.96
1474912418,12.96
1474916019,12.96
1474919620,12.94
1474923222,12.92
1474926823,12.87
1474930425,12.90
1474934027,12.92
1474937628,12.92
1474941229,12.94
1474944829,12.94
1474948430,12.89
1474952031,12.89
1474955631,12.91
1474959232,12.90
1474962833,12.90
1474966434,12.96
1474970035,13.05
1474973635,13.01
1474977236,12.99
1474980837,13.13
1474984438,13.17
1474988040,13.14
1474991641,13.13
1474995242,13.11
1474998843,13.10
1475002444,13.11
1475006045,13.16
1475009647,13.16
1475013248,13.13
1475016851,13.12
1475020484,13.10
1475024091,13.12
1475027692,13.13
1475031293,13.10
1475034893,13.09
1475038494,13.11
1475042095,13.09
1475045696,13.11
1475049296,13.28
1475052897,13.45
1475056498,13.32
1475060099,13.34
1475063699,13.33
1475067300,13.36
1475070901,13.30
1475074502,13.29
1475078103,13.31
1475081704,13.31
1475085367,13.34
1475088968,13.32
1475092570,13.30
1475096171,13.29
1475099773,13.27
1475103375,13.27
1475106980,13.28
1475110581,13.31
1475114182,13.35
1475117783,13.36
1475121384,13.31
1475124988,13.31
